codigo_interno;descricao_do_produto
000002;CORREIA DH
000003;CORREIA CVA
000004;POLIA DINAMO FUSCA
000005;CORREIA CVA
000006;ROTOR DISTRIBUICAO
000007;LAMPADA PINGAO S/ BOQUINHA ((ESMAGADA))
000008;CORREIA ALT
000009;CORREIA ALT
000010;ROLAMENTO ALTERNADOR
000011;ROLAMENTO ALTERNADOR
000012;MANGUEIRA HIDROVACO 12MM
000013;INTERRUPTOR TEMPERATURA INJECAO
000014;LAMPADA FAROL H5
000015;BOBINA IGNICAO S/ PINO
000016;ROLAMENTO RODA DT EXTERNO
000017;JUNTA TV
000018;CAPA TUCHO VW AR
000019;PRODUTO MODELO
000021;PRODUTO FRETE
000022;CORREIA ALT
000023;FILTRO AR SECUNDARIO
000024;SUPORTE CABO EMBREAGEM
000025;TAMPA DISTRIBUIDOR
000026;ARRUELA (CALCO) VOLANTE MOTOR VW AR 0,24 MM
000027;ARRUELA (CALCO) VOLANTE MOTOR VW AR 0,30 MM
000028;TAMPA COMBUSTIVEL
000029;TAMPA FACAO C/BUCHA (1 LADO)
000030;BRACO OSCILANTE LD
000031;BRACO OSCILANTE LE
000032;CORREIA ALT
000033;PONTEIRA DIRECAO LE
000034;ROLAMENTO RODA DT
000035;VELA IGNICAO
000036;FILTRO INJECAO
000037;HOMOCINETICA RODA
000038;VELA IGNICAO
000039;TERMINAL BATERIA
000040;RETENTOR CVA
000041;PALHETA DT CONVENCIONAL
000042;BUCHA COLUNA DIRECAO
000043;BAQUELITE CARBURADO
000044;KIT BORRACHA JUNTA TAMPA VALVULA VW FORD
000045;ROLAMENTO RODA DT INTERNO
000046;BIELETA DT
000047;BIELETA DT
000048;JUNTA CABECOTE
000049;JUNTA CABECOTE
000050;VELA IGNICAO
000051;LEQUE LD/LE SUSP DT
000052;JUNTA COLETOR ESCAPAMENTO
000053;JUNTA COLETOR ADMISSAO
000054;INTERRUPTOR TEMPERATURA AGUA
000055;JUNTA CAIXA
000056;CONDUITE EMBREAGEM
000057;BORBOLETA CABO EMBREAGEM FUSCA - KOMBI -
000058;JUNTA MOTOR
000059;PLATINADO DISTRIBUIDOR
000060;JUNTA CARTER
000061;JUNTA CABECOTE METALICA (MLS)
000062;COXIM AMORT DT
000063;MOLA SUSP TS
000064;PIVO INFERIOR DT LD LE
000065;LEQUE LD SUSP DT
000066;LEQUE LE SUSP DT
000067;JUNTA MOTOR
000068;REPARO PINCA CORCEL / BELINA SIST. BENDI
000069;REPARO PINCA
000070;VELA IGNICAO
000071;TAMPA DISTRIBUIDOR
000072;JUNTA CARTER
000073;BUCHA LEQUE INF SUSP DIANT
000074;CALCO MOLA DT SUPERIOR
000075;VELA IGNICAO
000077;CORREIA ACD
000078;KIT BORRACHA JUNTA TAMPA VALVULA VW FORD
000079;JUNTA CANO DAGUA
000080;BOMBA INJECAO REFIL
000081;TAMBOR FREIO TS COM CUBO
000082;JUNTA CAIXA
000083;JUNTA CABECOTE
000084;CARTER UNO (TDS) - 147 - PALIO 1.0/1.5 9
000085;CARTER MOTOR
000086;JUNTA CARTER
000087;JUNTA TV
000088;BOBINA IGNICAO
000089;BOMBA PARTIDA FRIO/PARABRISA
000090;FUSIVEL LAMINA 30A VERDE
000091;VALVULA TERMOSTATICA
000092;VALVULA TERMOSTATICA
000093;PONTEIRA DIRECAO LD LE
000094;PONTEIRA BARRA ESTABILIZADORA
000095;SELO COMANDO
000096;AXIAL DIRECAO
000097;LEQUE LD/LE SUSP DT
000098;OLEO CAIXA
000099;BUCHA TRAMBULADOR (ALAVANCA)
000100;JUNTA SAIDA ESCAPAMENTO
000101;JUNTA CARTER
000102;CILINDRO RODA
000103;DISCO FREIO DT VENTILADO
000104;JUNTA SAIDA ESCAPAMENTO
000105;ROLAMENTO RODA DT
000106;BORRACHA CILINDRO MESTRE GOL - PASSAT -
000107;CORREIA ALTERNADO
000108;COIFA CAIXA
000109;CILINDRO RODA (LADO DIREITO)
000110;CILINDRO RODA (LADO ESQUERDO)
000111;KIT EMBREAGEM
000112;ANEL DISTRIBUIDOR
000113;MANGUEIRA INJECAO
000114;RETENTOR POLIA
000115;BATENTE AMORT DT
000116;ENGRENAGEM VIRABREQUIM
000117;ENGRENAGEM VIRABREQUIM
000118;DISCO FREIO  DT VENTILADO
000119;JUNTA CABECOTE
000120;VALVULA ADMISSAO
000121;VALVULA ESCAPE
000122;SENSOR NIVEL COMBUSTIVEL
000123;SENSOR NIVEL COMBUSTIVEL
000124;FILTRO OLEO
000125;BATENTE AMORT TS
000126;BATENTE AMORT TS
000127;CILINDRO RODA
000128;CORREIA ALT
000129;CORREIA ALT
000130;CORREIA ALT
000131;JUNTA TV
000132;JUNTA TV
000133;JUNTA CAIXA
000134;TAMBOR FREIO TS
000135;SELO CAIXA 5 MARCHA
000136;CORREIA ACD
000137;CAIXA DIRECAO (( DM ))
000138;ANEL VEDACAO TAMPA OLEO
000139;JUNTA COLETOR ADMISSAO
000140;JUNTA COLETOR ADMISSAO
000141;BOBINA IGNICAO
000142;FLEXIVEL DT
000143;CABO VELA
000144;ROLAMENTO RODA TS ( KIT )
000145;MOLA PATIM TS
000146;JUNTA INJECAO
000147;JUNTA MOTOR
000148;MOLA PATIM TS
000149;MOLA PATIM TS
000150;MOLA PATIM TS
000151;MANGUEIRA ENTRADA AQUECEDOR
000152;PASTILHA DT
000153;MANGUEIRA FILTRO AR
000154;CORREIA ALT
000155;MANGUEIRA FILTRO AR
000156;KIT EMBREAGEM
000157;VALVULA EQUALIZADORA (EIXO TRASEIRO)
000158;TAMPA RESERVATORIO AGUA
000159;BOMBA OLEO MOTOR
000160;POLIA VIRABREQUIM
000161;SERVO FREIO KOMBI TDS
000162;COXIM CAIXA SUPERIOR
000163;KIT EMBREAGEM
000164;PALHETA TS
000165;PRATO AMORT DT (SUPERIOR)
000166;PRATO AMORT DT (SUPERIOR)
000167;TAMPA OLEO
000168;KIT EMBREAGEM
000169;VELA IGNICAO
000170;VELA IGNICAO
000171;CANO DAGUA
000172;INTERRUPTOR OLEO
000173;TENSOR CVA
000174;JUNTA TV
000175;LAMPADA SETA/FREIO (2 POLOS - GRANDE)
000176;ROLAMENTO RODA DT EXTERNO
000177;ROLAMENTO RODA TS DT INTERNO
000178;ROLAMENTO RODA TS INTERNO
000179;ROLAMENTO RODA DT EXTERNO
000180;ROLAMENTO RODA DT INTERNO
000181;RETENTOR VOLANTE
000182;RETENTOR VALVULA
000183;RETENTOR VOLANTE
000184;PALHETA TRASEIRA
000185;PINHAO DISTRIBUIDOR
